title,rating,body,author,date
Mala calidad,"1,0 de 5 estrellas",Al tercer uso se sale el café por todas partes. El filtro no baja.,Antonio M M,Revisado en España el 2 de agosto de 2022
decepcion,"1,0 de 5 estrellas",no me ha gustado que se sale siempre la borra.,alberto b.,Revisado en España el 27 de junio de 2022
Me esperaba mejor termo,"4,0 de 5 estrellas","Esta bien pero el termo es una caca la verdad tengo que usar otros que tengo ya que no tiene cierre hermético, pero la maquina esta bien y práctica",Elena,Revisado en España el 2 de mayo de 2022
muy compacta y bonita,"5,0 de 5 estrellas",cafetera perfecta para espacios pequeños o lugar de trabajo con bonito diseño y buen tamaño,Edda,Revisado en España el 30 de marzo de 2022
Genial,"5,0 de 5 estrellas","Es genial para espacios pequeños, muy elegante.
Da para 2 tazas grandes de café.
Me encanta!",yolanda Oñate,Revisado en España el 12 de enero de 2022
Funciona bien,"5,0 de 5 estrellas","Buen producto, fácil de usar y limpiar. Es rápida y la función temporizador es muy útil. Recomendada.",Jose Antonio,Revisado en España el 30 de noviembre de 2021
Pequeña para cocina mini,"5,0 de 5 estrellas","Pequeña y funcional, es de plástico al primer golpe se puede rajar",Gema R.,Revisado en España el 26 de octubre de 2021
Buenísimo,"5,0 de 5 estrellas","Un cafetera genial. Fácil de usar, el café sale rico y además programable",MERTXE FDEZ DE LARREA,Revisado en España el 9 de septiembre de 2021
Sencilla y fácil de usar!,"4,0 de 5 estrellas","Es muy práctica y fácil de usar, pero no me gusta el café que cuela esta cafetera. Será porque la presión de agua que pasa a través del café molido es muy baja y no se extrae bien la esencia del grano molido.",Cliente Amazon,Revisado en España el 21 de agosto de 2021
Recomendable,"5,0 de 5 estrellas","Muy buena, para lo pequeña que es",Pablo Chamorro Quijeiro,Revisado en España el 15 de julio de 2021
cafe to go,"5,0 de 5 estrellas",ideal para el viaje,Amazon Kunde,Revisado en España el 12 de julio de 2021
Muy bueno,"5,0 de 5 estrellas",Muy bueno para salir con el café listo cada mañana,Geraldo,Revisado en España el 16 de mayo de 2021
Buena relación calidad precio,"4,0 de 5 estrellas","En la descripción del producto, lo indica que no es completamente estanco, pero mantiene muy bien el calor. Es fácil de usar. Lo puedes dejar programado para tener el café listo cuando te apetezca.",Ivan,Revisado en España el 13 de mayo de 2021
Bonita y eficiente.,"5,0 de 5 estrellas",La cafetera funciona muy bien y hace el cafe muy rapido y bastante bueno.,Cliente Amazon,Revisado en España el 2 de mayo de 2021
No recomendable,"1,0 de 5 estrellas","tiene un gran defecto : pasa dos o tres dias t se atasca por la cal y hay que estar descalcificandola muy amenudo . da mucha rabia que echas agua en el deposito y se queda la mitad del agua y solo msale como para dos cafes y por supuesto sale demasiado fuerte porque la mitad del agua se ha quedado en el deposito ...pienso que los agujeritos por donde sale el agua al filtro donde esta el cafe , son tan pequeños que enseguida se atasca ... en fin que no lo recomiendo para nada",Ana,Revisado en España el 2 de mayo de 2021
cafetera beem,"5,0 de 5 estrellas","es muy manejable, fácil de usar y rápida, se limpia facilmente.",Isabel gil,Revisado en España el 29 de marzo de 2021
Buena calidad y compacta,"5,0 de 5 estrellas","Si buscas una cafetera compacta, económica y que haga buen café, no lo dudes. Estoy encantado con ella. Hace el café en dos minutos literal. Su tamaño es ideal.",José M.,Revisado en España el 8 de marzo de 2021
"Sin ruidos, rápida y hace un café muy rico","5,0 de 5 estrellas","Ruido mínimo, buena de limpiar y muy fácil de manejar",Marina Sonia,Revisado en España el 13 de febrero de 2021
Rápida y limpia como una de cápsulas,"4,0 de 5 estrellas","Rápida como una cafetera de cápsulas.
La uso con 2 monodosis E.S.E. y el sabor es bueno.
Después de usar, el filtro y portafiltro se lavan fácilmente aunque quedan restos de café (líquido) bajo el compartimento del filtro, por donde sale el café.
Contento con la compra.
Como anécdota, faltan 3 de las 4 patas que debería traer por lo que no queda estable.",José Antonio Barrado Marabé,Revisado en España el 6 de febrero de 2021
Filtro es muy debil,"2,0 de 5 estrellas","Filtro es muy débil y se rompió antes del mes, y ya no puedo utilizarlo mas, porque pasa todo el café por alli...",Kenny,Revisado en España el 22 de noviembre de 2020
Cumple la funcion,"5,0 de 5 estrellas","Programable, la ""jarra"" es el vaso para llevar. Suficiente para uno.",Lgr,Revisado en España el 7 de noviembre de 2020
Genial,"4,0 de 5 estrellas",Es comoda y rapida,Paloma López Gutiérrez,Revisado en España el 12 de septiembre de 2020
Muy práctica para uso individual.,"5,0 de 5 estrellas",Sale el café muy caliente y rápido y eso es lo que más valoro.,Mariana,Revisado en España el 10 de septiembre de 2020
Menos de lo que parece.,"3,0 de 5 estrellas","Rápida sí, pero el reloj si la desenchufadas pierde la configuración. El depósito de agua no es transparente y cuesta añadir agua guiado por las marcas q trae. Me decepcionó.",Javier Rodriguez,Revisado en España el 10 de septiembre de 2020
Satisfecho,"5,0 de 5 estrellas",La uso en el trabajo y sin ningún fallo,Juan Artabro,Revisado en España el 8 de junio de 2020
