title,rating,body,author,date
Buen funcionamiento,"4,0 de 5 estrellas",Fácil de utilizar y limpiar. Tamaño ideal,Yolanda,Revisado en España el 12 de marzo de 2024
No funciona,"1,0 de 5 estrellas","La máquina ha llegado y parecía nueva, pero no funciona, no sale agua. He comprado este articulo desde el Amazon Warehouse, pero deberían revisarlo antes de vender algo que no funciona. Muy decepcionado porque me dado cuenta de que otras personas han tenido el mismo problema y no deberías tenerlas a la venta.",Salvatore Emma,Revisado en España el 27 de febrero de 2023
Super,"5,0 de 5 estrellas",Super,torres edwige,Revisado en España el 19 de enero de 2022
Me encanta es muy bonita ..,"5,0 de 5 estrellas",No me gusta que no es automática para que el café pare .,Pamela Castillo,Revisado en España el 10 de septiembre de 2021
Perfecto,"5,0 de 5 estrellas",Buena cafetera y buen cafe,Tino,Revisado en España el 9 de julio de 2021
Cafetera basica para quien no se quiere liar con botones,"5,0 de 5 estrellas","Esta cafetera esta genial para los que no quieren una cafetera complicada.
Tiene un botón y ya esta. Tu decides cuanto cafe quieres encendiendo y parando a tu gusto.
Nada de programar la cantidad de agua y más bobadas.
Se enciende y se apaga con el mismo botón.
El deposito de agua es redonda y se puede limpiar con facilidad, no como otros de formas exoticas en que ni siquiera puedes meter un cepillo.
El cafe de lavazza esta muy por encima del cafe de nescafe, incluso las capsulas compatibles saben mejor y la cafetera funciona igual de bien.
Compré la cafetera en Amazon Warehouse, supuestamente de segunda mano, pero en realidad era nueva y sin estrenar, solo tenia una parte lateral un poco rayada, apenas se notaba, pero el precio obviamente a casi la mitad. Vale mucho la pena. Recomendable 100%",MirandaM,Revisado en España el 28 de junio de 2021
Sencilla de usar,"4,0 de 5 estrellas","Las cápsulas son un poco caras y no son fácil de adquirir en los supermercados.
Solo online pero el sabor de Lavazza a modo mio es buen café.",Rocío,Revisado en España el 9 de mayo de 2021
Calidad,"5,0 de 5 estrellas",La máquina va perfecta y las cápsulas son excelentes,Francisco Contreras,Revisado en España el 8 de mayo de 2021
Calidad a bajo precio,"5,0 de 5 estrellas",Muy buena máquina de café por un precio excelente,Carlos M.,Revisado en España el 8 de mayo de 2021
el precio,"5,0 de 5 estrellas","el articulo me ha gustado mucho, comprare mas unidades cuando salga la misma oferta.",Dani tole,Revisado en España el 4 de mayo de 2021
Perfecta por ese precio.,"4,0 de 5 estrellas","La máquina va perfecta, no le doy las 5 estrellas por el tipo de cápsulas que usa.",Gabriel Lázaro,Revisado en España el 29 de abril de 2021
LA PRIMERA VEZ LLENAR DEPÓSITO HASTA ARRIBA!!,"5,0 de 5 estrellas","Hola buenas, acabo de recibirlo y he tenido problemas al iniciar la cafetera por primera vez, AVISO!!!, LLENAR EL DEPÓSITO DE AGUA, he tardado un rato en ponerla en marcha, parecía que no cogía el agua y el error mío ha sido que tenía el depósito por la mitad, en cuanto lo he llenado hasta arriba se ha puesto ha funcionar, el producto es re acondicionado pero por el momento funcionamiento correcto",David,Revisado en España el 22 de abril de 2021
Diseño,"5,0 de 5 estrellas","De momento, y habiendo hecho 2 cafés solamente, es un pepinazo de cafetera. Pequeña con un diseño top. El azul es clarito, no tan fuerte como en la primera imagen. Hay que prestar atención la primera vez que se enchufa, seguir las instrucciones porque a mi no me salía agua al principio, dejé la ventana de la capsula abierta y cuando vi que empezaba a tirar agua la cerré, limpio el circuito y a funcionar.",JInete Carrete,Revisado en España el 16 de abril de 2021
Mal estado,"1,0 de 5 estrellas","La acabo de recibir esta tarde, y no funciona, no coge agua.",Melina,Revisado en España el 12 de abril de 2021
No funciona,"1,0 de 5 estrellas","La cafetera no funciona. Anteriormente tenía una igual e iba de maravilla, pero esta no funciona, porque no sale el agua del depósito y la máquina vibra muy fuerte. La reemplacé por otra idéntica y tiene el mismo problema, un desastre. La fecha de fabricación que pone en la caja es del 2017, no sé si tendrá algo que ver, y las cápsulas sumistradas están caducadas desde hace casi un año.

Me encanta este café y este modelo de cafetera, pero en este caso la compra ha sido un desastre. Pendiente aún del reembolso de Amazon.",Cliente Amazon,Revisado en España el 12 de marzo de 2021
Lavazza,"5,0 de 5 estrellas","4 años de uso y funciona perfecta, gran compra",pedro c.,Revisado en España el 4 de febrero de 2021
Producto en perfectas condiciones,"5,0 de 5 estrellas","He Comprado esta cafetera por Amazon Warehouse, es decir, la he comprado de segunda mano. Está nueva, por estrenar. Por descontado, funciona bien, y además ya conozco la calidad y el funcionamiento de la máquina. Estoy muy satisfecha con la compra, la descripcion del producto ha sido exacta a lo que ha llegado. Muchas gracias.",Sechs,Revisado en España el 2 de septiembre de 2020
ok,"5,0 de 5 estrellas",ok,SERHIY MEDVEDYEV,Revisado en España el 30 de mayo de 2020
Precio - calidad,"5,0 de 5 estrellas",Tamaño perfecto y café buenísimo,zazu,Revisado en España el 3 de abril de 2020
Muy bien!,"5,0 de 5 estrellas","Pequeña, fácil de usar y súper cómoda!",susana,Revisado en España el 25 de diciembre de 2019
Muy buena,"5,0 de 5 estrellas",Bonita cafetera... Pequeña... pero hace un café excelente y esto es lo que importa. Lavazza nunca me decepciona ... Muy contenta de la compra. La cafetera me ha llegado en un día con Amazon Prime.,maria giovanna,Revisado en España el 19 de noviembre de 2019
He recibido la cafetera “LAVAZZA. A MODO MÍO” Modelo Jolie.,"1,0 de 5 estrellas","Al usarla la encuentro extraordinariamente pequeña, solo para una taza pequeña. Ruego me informen cómo hago para cambiarla a otra de mayor capacidad. Espero sus noticias.",Isidoro,Revisado en España el 13 de noviembre de 2019
El cafè.,"5,0 de 5 estrellas","Cafetera pequeña y muy pràctica, cafè extraordinario.",Joana,Revisado en España el 2 de septiembre de 2019
Mala,"1,0 de 5 estrellas",Después de una semana esperándola viene con la caja rota y la cafetera no se enchufa,Pedro cano,Revisado en España el 8 de abril de 2019
Estupenda maquina de cafe,"5,0 de 5 estrellas",Genial,Amazon Customer,Revisado en España el 7 de abril de 2019
Excelente calidad,"5,0 de 5 estrellas","Muy buena máquina. Pequeña, hermoso diseño y silenciosa. El café Lavazza a modo mio es de excelente calidad. Sai con la temperatura y la espuma ideal. Superior al Nespresso. Muy satisfecho.",Lobo,Revisado en España el 29 de marzo de 2019
Buen diseño,"4,0 de 5 estrellas",Diseño con estilo. Fácil de usar y vino con instrucciones buenas. Ocupa mucho menos espacio que la máquina que tenía antes. Pero un tamaño más pequeño significa que hay que vaciar las cápsulas antes (solo caben 5 más o menos).,Jennifer R.,Revisado en España el 21 de marzo de 2019
La relación calidad precio es extraordinariamente buena. ¡Vale más de lo que cuesta!,"5,0 de 5 estrellas","De todas las máquinas de café que he comprado en mi vida, sin lugar a dudas que esta es la mejor en todos aspectos, compacta, ligera, facilidad de uso y un diseño ""made in Italia"" espectacular",Andreu Cruz,Revisado en España el 15 de diciembre de 2018
Muy satisfecho,"5,0 de 5 estrellas","Muy buen cafe, silenciosa y facil de utilisar y mantener, mejor que las de nescafe(en mi opinion).",Grama Eugeniu,Revisado en España el 28 de septiembre de 2018
Petra,"1,0 de 5 estrellas","La cafetera no calienta el agua y por tanto no hace el café. Era un regalo y hasta ahora no la habían usado.
Espero solución",Petra,Revisado en España el 2 de junio de 2018
Cafetera que por el precio no está mal,"4,0 de 5 estrellas","Buen precio y la verdad para hacer un café rápido, se puede decir que va bastante bien. Cápsulas más caras pero buenas.",Jose Antonio Fernández Herraez,Revisado en España el 21 de mayo de 2018
Cafetera,"4,0 de 5 estrellas","Bueno es compacta y funciona bien.
Lo único parece que el café sale más despacio que con mi otra máquina",Roberto,Revisado en España el 2 de mayo de 2018
Núria V.,"5,0 de 5 estrellas","Buena cafetera, el mejor café que nespresso. Sale el café bien caliente, y buen diseño para poner el agua al depósito de la cafetera.",Cliente Amazon,Revisado en España el 13 de enero de 2018
cafetera perfecta,"4,0 de 5 estrellas","la cafetera esta va muy bien lo unico que lo de las capsulas de cafe es muy pequeña con 4 o 5 capsulas ya se llena el cajon
pero eso es lo menos importante ya que hace un cafe buenisimo",Amazon Cliente,Revisado en España el 26 de octubre de 2017
Laura,"2,0 de 5 estrellas","Parece de juguete. Es demasiado pequeña y no tiene demasiada fuerza. Éste es el problema real de comprar por Internet, nunca sabes al 100% la tela, el tamaño o la calidad del producto que estás comprando.",Cliente Amazon,Revisado en España el 19 de julio de 2017
