title,rating,body,author,date
Práctica,"3,0 de 5 estrellas",Práctica,Susana Burcio,Revisado en España el 18 de junio de 2024
No me filtra el cafe,"1,0 de 5 estrellas","No se si es para un determinado café, pero a mi no me filtraba nada, la he devuelto porque me tolaba el café lleno de posos",Arantxa,Revisado en España el 8 de junio de 2024
No muy allá,"2,0 de 5 estrellas","Bonita, pequeña pero de la que presiinas te salta todo para arriba. He usado otras que iban muy bien. Esta no es el caso. No volvería a comprar.",Sonia,Revisado en España el 29 de abril de 2024
Bien a secas,"4,0 de 5 estrellas","Bien por lo que pagas a grandes rasgos pero honestamente si tuviera que comprar otra vez, no sabría qué hacer... Es un producto muy simple y más pequeño de lo que parece !",Marisolin,Revisado en España el 28 de marzo de 2024
Muy frágil,"4,0 de 5 estrellas","El cristal muy frágil, el protector no sirve de mucho para impedir que este se rompa.","Muy frágil, cualquier golpe al lavarla o algo que la presione en el fregadero rompe el cristal sin que tenga efecto la protección que lleva.",Revisado en España el 24 de marzo de 2024
Calidad-precio perfecto,"5,0 de 5 estrellas",La uso para espumar la leche y queda buenísima. Muy fácil de usar,Alejandro,Revisado en España el 19 de marzo de 2024
Duro poco,"2,0 de 5 estrellas",Es práctico pero duro un mes.,Iván,Revisado en España el 8 de marzo de 2024
Prensa francesa perfecta para hacer crema de leche,"5,0 de 5 estrellas",Yo la compré para usarla con leche exclusivamente. Para hacer crema de leche expresamente. Y sale perfecta. Muy contento,alejandro borrego aristu,Revisado en España el 7 de marzo de 2024
Util,"5,0 de 5 estrellas",Es muy util,M Salud Villatoro Marmol,Revisado en España el 17 de febrero de 2024
Caro,"2,0 de 5 estrellas","Caro para la calidad, se ha roto el cristal de solo usarlo",Sofia,Revisado en España el 10 de febrero de 2024
"Vidrio débil, se ha agrietado","1,0 de 5 estrellas","Después de unas cuantas semanas de uso, siendo cuidadoso con el producto, se ha resquebrajado por la parte superior, sin sufrir ningún tipo de caída ni de golpe. Dejaba poso de café, ahora de vidrio también.",JOSE ANTONIO,Revisado en España el 29 de enero de 2024
Satisfecho,"5,0 de 5 estrellas",Buen precio y buen café,Juan Artabro,Revisado en España el 29 de enero de 2024
Muy buena calidad!,"5,0 de 5 estrellas","Muy buena cafetera, relación calidad - precio",joan marc ferret,Revisado en España el 12 de enero de 2024
